Treatment,Sex,Sample_ID,Cohort,Day,IgA_x1000
Control,Male,XR13,3,57,20.07208122
PAT,Male,XR14,3,57,13.75362062
Control,Male,XR15,3,57,23.97312049
PAT,Male,XR16,3,57,13.91582332
Control,Male,XR01,1,64,9.778711491
Control,Female,XR02,1,64,22.45949087
PAT,Female,XR04,1,64,0.948136306
Control,Female,XR05,2,64,31.72560202
Control,Female,XR06,2,64,26.12685385
PAT,Female,XR07,2,64,14.25926687
PAT,Female,XR08,2,64,20.47282861
Control,Male,XR09,3,64,0.369573858
PAT,Male,XR10,3,64,19.14795989
PAT,Male,XR11,3,64,15.04858498
Control,Male,XR12,3,64,1.174490773
Control,Male,XR13,3,64,1.85134159
PAT,Male,XR14,3,64,14.88034495
Control,Male,XR15,3,64,0.526957408
PAT,Male,XR16,3,64,15.53159194
Control,Male,XR01,1,76,7.739149293
Control,Female,XR02,1,76,27.22346496
PAT,Female,XR04,1,76,6.003844382
Control,Female,XR05,2,76,30.07439733
Control,Female,XR06,2,76,33.3596403
PAT,Female,XR07,2,76,23.45170051
PAT,Female,XR08,2,76,34.11656681
Control,Male,XR09,3,76,0.325333349
PAT,Male,XR10,3,76,21.05231842
PAT,Male,XR11,3,76,18.53078337
Control,Male,XR12,3,76,1.219434906
Control,Male,XR13,3,76,1.393279915
PAT,Male,XR14,3,76,16.30495641
Control,Male,XR15,3,76,0.594609052
PAT,Male,XR16,3,76,16.0582921
