#SampleID	Sample_number	Sex	Treatment	Treatment_sex	Breeder_Pup	Type_of_sample	Day_of_life	Day_of_life_tissue	Week_of_life	Treatment_Day	Date_collected	DNA_extraction_date	Weight_of_pellet	Description
EP30.19	EP30	Male	PAT3	PAT3_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.23.2013	35.8	EP30.19
EP32.19	EP32	Female	PAT1	PAT1_Female	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.23.2013	48.3	EP32.19
EP33.19	EP33	Female	PAT1	PAT1_Female	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.23.2013	66.4	EP33.19
EP34.19	EP34	Male	PAT3	PAT3_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	24.9	EP34.19
EP35.19	EP35	Male	PAT3	PAT3_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	23.5	EP35.19
EP36.19	EP36	Male	PAT3	PAT3_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	40.5	EP36.19
EP37.19	EP37	Female	PAT3	PAT3_Female	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	37.8	EP37.19
EP38.19	EP38	Male	PAT3	PAT3_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	62.4	EP38.19
EP39.19	EP39	Female	PAT3	PAT3_Female	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	50.2	EP39.19
EP4.19	EP4	Female	PAT1	PAT1_Female	pup	Fecal	34	34	5	pup_day_34	3.26.2013	7.23.2013	56.6	EP4.19
EP40.19	EP40	Male	PAT3	PAT3_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	33.4	EP40.19
EP41.19	EP41	Male	Control	Control_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	75.4	EP41.19
EP42.19	EP42	Male	Control	Control_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	34.8	EP42.19
EP43.19	EP43	Male	Control	Control_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	52.3	EP43.19
EP44.19	EP44	Male	Control	Control_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	33.1	EP44.19
EP45.19	EP45	Male	Control	Control_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	58.3	EP45.19
EP46.19	EP46	Female	Control	Control_Female	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	18.8	EP46.19
EP47.19	EP47	Female	Control	Control_Female	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	26.4	EP47.19
EP48.19	EP48	Male	Control	Control_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	50.7	EP48.19
EP49.19	EP49	Male	Control	Control_Male	pup	Fecal	34	34	5	pup_day_34	3.27.2013	7.25.2013	57.7	EP49.19
EP5.19	EP5	Male	PAT1	PAT1_Male	pup	Fecal	34	34	5	pup_day_34	3.26.2013	7.23.2013	63.1	EP5.19
EP6.19	EP6	Female	PAT1	PAT1_Female	pup	Fecal	34	34	5	pup_day_34	3.26.2013	7.23.2013	30.1	EP6.19
EP7.19	EP7	Female	PAT1	PAT1_Female	pup	Fecal	34	34	5	pup_day_34	3.26.2013	7.23.2013	29.7	EP7.19
EP9.19	EP9	Female	PAT3	PAT3_Female	pup	Fecal	34	34	5	pup_day_34	3.26.2013	7.23.2013	52.8	EP9.19
B11.20	B11	Female	PAT	PAT_Female	Breeder	Fecal	39	39	6	Day_39_post_birth	4.1.2013	7.25.2013	53.4	B11.20
B14.20	B14	Female	PAT	PAT_Female	Breeder	Fecal	39	39	6	Day_39_post_birth	4.1.2013	7.25.2013	25.8	B14.20
B17.20	B17	Female	PAT	PAT_Female	Breeder	Fecal	39	39	6	Day_39_post_birth	4.1.2013	7.25.2013	20.3	B17.20
B18.20	B18	Female	Control	Control_Female	Breeder	Fecal	39	39	6	Day_39_post_birth	3.31.2013	7.25.2013	143.8	B18.20
B20.20	B20	Female	PAT	PAT_Female	Breeder	Fecal	39	39	6	Day_39_post_birth	3.31.2013	7.25.2013	58.8	B20.20
B21.20	B21	Female	PAT	PAT_Female	Breeder	Fecal	39	39	6	Day_39_post_birth	4.1.2013	7.25.2013	72.5	B21.20
B22.20	B22	Female	PAT	PAT_Female	Breeder	Fecal	39	39	6	Day_39_post_birth	3.31.2013	7.25.2013	34.4	B22.20
B23.20	B23	Female	PAT	PAT_Female	Breeder	Fecal	39	39	6	Day_39_post_birth	4.1.2013	7.25.2013	47	B23.20
B25.20	B25	Female	Control	Control_Female	Breeder	Fecal	39	39	6	Day_39_post_birth	4.1.2013	7.25.2013	65	B25.20
B26.20	B26	Female	Control	Control_Female	Breeder	Fecal	39	39	6	Day_39_post_birth	4.1.2013	7.25.2013	67.7	B26.20
EP1.20	EP1	Female	Control	Control_Female	pup	Fecal	39	39	6	pup_day_39	3.31.2013	7.25.2013	54.5	EP1.20
EP10.20	EP10	Female	PAT3	PAT3_Female	pup	Fecal	39	39	6	pup_day_39	3.31.2013	7.25.2013	47.5	EP10.20
EP11.20	EP11	Male	PAT1	PAT1_Male	pup	Fecal	39	39	6	pup_day_39	3.31.2013	7.25.2013	74.7	EP11.20
EP12.20	EP12	Female	PAT1	PAT1_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	70	EP12.20
EP13.20	EP13	Female	PAT1	PAT1_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	32	EP13.20
EP16.20	EP16	Female	PAT1	PAT1_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	60.7	EP16.20
EP17.20	EP17	Male	PAT1	PAT1_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	46.2	EP17.20
EP18.20	EP18	Male	PAT1	PAT1_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	54.3	EP18.20
EP19.20	EP19	Male	PAT1	PAT1_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	68.8	EP19.20
EP2.20	EP2	Male	Control	Control_Male	pup	Fecal	39	39	6	pup_day_39	3.31.2013	7.25.2013	99.7	EP2.20
EP20.20	EP20	Female	PAT3	PAT3_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	49.2	EP20.20
EP21.20	EP21	Male	PAT1	PAT1_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	36.1	EP21.20
EP22.20	EP22	Female	PAT3	PAT3_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	38.7	EP22.20
EP23.20	EP23	Male	PAT1	PAT1_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	26.1	EP23.20
EP24.20	EP24	Male	PAT3	PAT3_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	54.4	EP24.20
EP25.20	EP25	Male	PAT3	PAT3_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	11.5	EP25.20
EP27.20	EP27	Female	PAT3	PAT3_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	27.1	EP27.20
EP28.20	EP28	Female	PAT3	PAT3_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	52.5	EP28.20
EP29.20	EP29	Male	PAT3	PAT3_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	30.8	EP29.20
EP3.20	EP3	Male	Control	Control_Male	pup	Fecal	39	39	6	pup_day_39	3.31.2013	7.25.2013	69.2	EP3.20
EP30.20	EP30	Male	PAT3	PAT3_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	41.2	EP30.20
EP32.20	EP32	Female	PAT1	PAT1_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	59.3	EP32.20
EP33.20	EP33	Female	PAT1	PAT1_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	27.9	EP33.20
EP34.20	EP34	Male	PAT3	PAT3_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	20.4	EP34.20
EP35.20	EP35	Male	PAT3	PAT3_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	46.6	EP35.20
EP36.20	EP36	Male	PAT3	PAT3_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	23.7	EP36.20
EP37.20	EP37	Female	PAT3	PAT3_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	43.1	EP37.20
EP38.20	EP38	Male	PAT3	PAT3_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	55.3	EP38.20
EP39.20	EP39	Female	PAT3	PAT3_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	41	EP39.20
EP4.20	EP4	Female	PAT1	PAT1_Female	pup	Fecal	39	39	6	pup_day_39	3.31.2013	7.25.2013	54.1	EP4.20
EP40.20	EP40	Male	PAT3	PAT3_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	52.3	EP40.20
EP41.20	EP41	Male	Control	Control_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	32.1	EP41.20
EP42.20	EP42	Male	Control	Control_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	31.8	EP42.20
EP43.20	EP43	Male	Control	Control_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	27	EP43.20
EP44.20	EP44	Male	Control	Control_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	50.2	EP44.20
EP46.20	EP46	Female	Control	Control_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	41.3	EP46.20
EP47.20	EP47	Female	Control	Control_Female	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	23.4	EP47.20
EP48.20	EP48	Male	Control	Control_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	49.4	EP48.20
EP49.20	EP49	Male	Control	Control_Male	pup	Fecal	39	39	6	pup_day_39	4.1.2013	7.25.2013	47.6	EP49.20
EP5.20	EP5	Male	PAT1	PAT1_Male	pup	Fecal	39	39	6	pup_day_39	3.31.2013	7.25.2013	63.2	EP5.20
EP6.20	EP6	Female	PAT1	PAT1_Female	pup	Fecal	39	39	6	pup_day_39	3.31.2013	7.25.2013	48.7	EP6.20
EP7.20	EP7	Female	PAT1	PAT1_Female	pup	Fecal	39	39	6	pup_day_39	3.31.2013	7.25.2013	58.4	EP7.20
EP8.20	EP8	Female	PAT3	PAT3_Female	pup	Fecal	39	39	6	pup_day_39	3.31.2013	7.25.2013	32.3	EP8.20
EP9.20	EP9	Female	PAT3	PAT3_Female	pup	Fecal	39	39	6	pup_day_39	3.31.2013	7.25.2013	45.2	EP9.20
B11.21	B11	Female	PAT	PAT_Female	Breeder	Fecal	43	43	6	Day_43_post_birth	4.5.2013	7.25.2013	37.8	B11.21
B14.21	B14	Female	PAT	PAT_Female	Breeder	Fecal	43	43	6	Day_43_post_birth	4.5.2013	7.25.2013	59.9	B14.21
B17.21	B17	Female	PAT	PAT_Female	Breeder	Fecal	43	43	6	Day_43_post_birth	4.5.2013	7.25.2013	82.5	B17.21
B18.21	B18	Female	Control	Control_Female	Breeder	Fecal	43	43	6	Day_43_post_birth	4.4.2013	7.25.2013	80.6	B18.21
B20.21	B20	Female	PAT	PAT_Female	Breeder	Fecal	43	43	6	Day_43_post_birth	4.4.2013	7.25.2013	84.8	B20.21
B21.21	B21	Female	PAT	PAT_Female	Breeder	Fecal	43	43	6	Day_43_post_birth	4.5.2013	7.25.2013	91.9	B21.21
B22.21	B22	Female	PAT	PAT_Female	Breeder	Fecal	43	43	6	Day_43_post_birth	4.4.2013	7.25.2013	26.2	B22.21
B23.21	B23	Female	PAT	PAT_Female	Breeder	Fecal	43	43	6	Day_43_post_birth	4.5.2013	7.25.2013	73.3	B23.21
B25.21	B25	Female	Control	Control_Female	Breeder	Fecal	43	43	6	Day_43_post_birth	4.5.2013	7.25.2013	47.6	B25.21
B26.21	B26	Female	Control	Control_Female	Breeder	Fecal	43	43	6	Day_43_post_birth	4.5.2013	7.25.2013	55.6	B26.21
EP1.21	EP1	Female	Control	Control_Female	pup	Fecal	43	43	6	pup_day_43	4.4.2013	7.25.2013	36.9	EP1.21
EP10.21	EP10	Female	PAT3	PAT3_Female	pup	Fecal	43	43	6	pup_day_43	4.4.2013	7.25.2013	48.2	EP10.21
EP11.21	EP11	Male	PAT1	PAT1_Male	pup	Fecal	43	43	6	pup_day_43	4.4.2013	7.25.2013	59.2	EP11.21
EP12.21	EP12	Female	PAT1	PAT1_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	89.9	EP12.21
EP13.21	EP13	Female	PAT1	PAT1_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	56	EP13.21
EP14.21	EP14	Male	PAT1	PAT1_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	53.7	EP14.21
EP15.21	EP15	Male	PAT1	PAT1_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	44.9	EP15.21
EP16.21	EP16	Female	PAT1	PAT1_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	46.8	EP16.21
EP17.21	EP17	Male	PAT1	PAT1_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	22.5	EP17.21
EP18.21	EP18	Male	PAT1	PAT1_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	54.9	EP18.21
EP19.21	EP19	Male	PAT1	PAT1_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	35.2	EP19.21
EP2.21	EP2	Male	Control	Control_Male	pup	Fecal	43	43	6	pup_day_43	4.4.2013	7.25.2013	53.2	EP2.21
EP20.21	EP20	Female	PAT3	PAT3_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	31	EP20.21
EP21.21	EP21	Male	PAT1	PAT1_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	68	EP21.21
EP22.21	EP22	Female	PAT3	PAT3_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	45.2	EP22.21
EP23.21	EP23	Male	PAT1	PAT1_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	23.8	EP23.21
EP24.21	EP24	Male	PAT3	PAT3_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	38.3	EP24.21
EP25.21	EP25	Male	PAT3	PAT3_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	63.4	EP25.21
EP26.21	EP26	Male	PAT3	PAT3_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	69.2	EP26.21
EP27.21	EP27	Female	PAT3	PAT3_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	60.9	EP27.21
EP28.21	EP28	Female	PAT3	PAT3_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	54.2	EP28.21
EP29.21	EP29	Male	PAT3	PAT3_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	31.8	EP29.21
EP3.21	EP3	Male	Control	Control_Male	pup	Fecal	43	43	6	pup_day_43	4.4.2013	7.25.2013	27.5	EP3.21
EP30.21	EP30	Male	PAT3	PAT3_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	_	EP30.21
EP32.21	EP32	Female	PAT1	PAT1_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	44.6	EP32.21
EP33.21	EP33	Female	PAT1	PAT1_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	27.7	EP33.21
EP34.21	EP34	Male	PAT3	PAT3_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	53.9	EP34.21
EP35.21	EP35	Male	PAT3	PAT3_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	55.2	EP35.21
EP36.21	EP36	Male	PAT3	PAT3_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	49.9	EP36.21
EP37.21	EP37	Female	PAT3	PAT3_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	64.8	EP37.21
EP38.21	EP38	Male	PAT3	PAT3_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	38.7	EP38.21
EP39.21	EP39	Female	PAT3	PAT3_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	111.4	EP39.21
EP4.21	EP4	Female	PAT1	PAT1_Female	pup	Fecal	43	43	6	pup_day_43	4.4.2013	7.25.2013	62.5	EP4.21
EP40.21	EP40	Male	PAT3	PAT3_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	56.8	EP40.21
EP41.21	EP41	Male	Control	Control_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	21.2	EP41.21
EP42.21	EP42	Male	Control	Control_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	12	EP42.21
EP43.21	EP43	Male	Control	Control_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	29.4	EP43.21
EP44.21	EP44	Male	Control	Control_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	57	EP44.21
EP45.21	EP45	Male	Control	Control_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	44.9	EP45.21
EP46.21	EP46	Female	Control	Control_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	41.9	EP46.21
EP47.21	EP47	Female	Control	Control_Female	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	31.5	EP47.21
EP48.21	EP48	Male	Control	Control_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	54.6	EP48.21
EP49.21	EP49	Male	Control	Control_Male	pup	Fecal	43	43	6	pup_day_43	4.5.2013	7.25.2013	49.5	EP49.21
EP5.21	EP5	Male	PAT1	PAT1_Male	pup	Fecal	43	43	6	pup_day_43	4.4.2013	7.25.2013	88.2	EP5.21
EP6.21	EP6	Female	PAT1	PAT1_Female	pup	Fecal	43	43	6	pup_day_43	4.4.2013	7.25.2013	24.5	EP6.21
EP7.21	EP7	Female	PAT1	PAT1_Female	pup	Fecal	43	43	6	pup_day_43	4.4.2013	7.25.2013	32.1	EP7.21
EP8.21	EP8	Female	PAT3	PAT3_Female	pup	Fecal	43	43	6	pup_day_43	4.4.2013	7.25.2013	19.1	EP8.21
EP9.21	EP9	Female	PAT3	PAT3_Female	pup	Fecal	43	43	6	pup_day_43	4.4.2013	7.25.2013	30.9	EP9.21
B11.29	B11	Female	PAT	PAT_Female	Breeder	cecum	52	cecum	7.5	Day_61_post_birth	4.23.2013	7.29.2013	83.7	B11.29
B14.29	B14	Female	PAT	PAT_Female	Breeder	cecum	52	cecum	7.5	Day_61_post_birth	4.23.2013	7.29.2013	313.4	B14.29
B17.29	B17	Female	PAT	PAT_Female	Breeder	cecum	52	cecum	7.5	Day_61_post_birth	4.23.2013	7.29.2013	147.1	B17.29
B18.29	B18	Female	Control	Control_Female	Breeder	cecum	52	cecum	7.5	Day_62_post_birth	4.23.2013	7.28.2013	63.2	B18.29
B20.29	B20	Female	PAT	PAT_Female	Breeder	cecum	52	cecum	7.5	Day_62_post_birth	4.23.2013	7.28.2013	101.5	B20.29
B21.29	B21	Female	PAT	PAT_Female	Breeder	cecum	52	cecum	7.5	Day_61_post_birth	4.23.2013	7.29.2013	373.4	B21.29
B22.29	B22	Female	PAT	PAT_Female	Breeder	cecum	52	cecum	7.5	Day_62_post_birth	4.23.2013	7.29.2013	89	B22.29
B23.29	B23	Female	PAT	PAT_Female	Breeder	cecum	52	cecum	7.5	Day_61_post_birth	4.23.2013	7.29.2013	134.2	B23.29
B25.29	B25	Female	Control	Control_Female	Breeder	cecum	52	cecum	7.5	Day_61_post_birth	4.23.2013	7.28.2013	63.1	B25.29
B26.29	B26	Female	Control	Control_Female	Breeder	cecum	52	cecum	7.5	Day_61_post_birth	4.23.2013	7.28.2013	80.8	B26.29
EP1.29	EP1	Female	Control	Control_Female	pup	cecum	52	cecum	7.5	pup_day_49	4.10.2013	7.29.2013	84	EP1.29
EP10.29	EP10	Female	PAT3	PAT3_Female	pup	cecum	52	cecum	7.5	pup_day_49	4.10.2013	7.29.2013	91.2	EP10.29
EP11.29	EP11	Male	PAT1	PAT1_Male	pup	cecum	52	cecum	7.5	pup_day_47	4.8.2013	7.29.2013	135.8	EP11.29
EP12.29	EP12	Female	PAT1	PAT1_Female	pup	cecum	52	cecum	7.5	pup_day_50	4.12.2013	7.29.2013	454.1	EP12.29
EP13.29	EP13	Female	PAT1	PAT1_Female	pup	cecum	52	cecum	7.5	pup_day_50	4.12.2013	7.29.2013	128	EP13.29
EP14.29	EP14	Male	PAT1	PAT1_Male	pup	cecum	52	cecum	7.5	pup_day_57	4.19.2013	7.29.2013	165.1	EP14.29
EP15.29	EP15	Male	PAT1	PAT1_Male	pup	cecum	52	cecum	7.5	pup_day_55	4.17.2013	7.29.2013	340.8	EP15.29
EP16.29	EP16	Female	PAT1	PAT1_Female	pup	cecum	52	cecum	7.5	pup_day_50	4.12.2013	7.29.2013	177.1	EP16.29
EP17.29	EP17	Male	PAT1	PAT1_Male	pup	cecum	52	cecum	7.5	pup_day_55	4.17.2013	7.29.2013	192.5	EP17.29
EP18.29	EP18	Male	PAT1	PAT1_Male	pup	cecum	52	cecum	7.5	pup_day_47	4.8.2013	7.29.2013	NA	EP18.29
EP19.29	EP19	Male	PAT1	PAT1_Male	pup	cecum	52	cecum	7.5	pup_day_57	4.19.2013	7.29.2013	201.5	EP19.29
EP2.29	EP2	Male	Control	Control_Male	pup	cecum	52	cecum	7.5	pup_day_47	4.8.2013	7.29.2013	97.9	EP2.29
EP20.29	EP20	Female	PAT3	PAT3_Female	pup	cecum	52	cecum	7.5	pup_day_48	4.10.2013	7.29.2013	90.7	EP20.29
EP21.29	EP21	Male	PAT1	PAT1_Male	pup	cecum	52	cecum	7.5	pup_day_57	4.19.2013	7.29.2013	209.5	EP21.29
EP22.29	EP22	Female	PAT3	PAT3_Female	pup	cecum	52	cecum	7.5	pup_day_50	4.12.2013	7.29.2013	99.2	EP22.29
EP23.29	EP23	Male	PAT1	PAT1_Male	pup	cecum	52	cecum	7.5	pup_day_55	4.17.2013	7.29.2013	393.3	EP23.29
EP24.29	EP24	Male	PAT3	PAT3_Male	pup	cecum	52	cecum	7.5	pup_day_55	4.17.2013	7.29.2013	262.5	EP24.29
EP25.29	EP25	Male	PAT3	PAT3_Male	pup	cecum	52	cecum	7.5	pup_day_55	4.17.2013	7.29.2013	196.2	EP25.29
EP26.29	EP26	Male	PAT3	PAT3_Male	pup	cecum	52	cecum	7.5	pup_day_55	4.17.2013	7.29.2013	222.8	EP26.29
EP27.29	EP27	Female	PAT3	PAT3_Female	pup	cecum	52	cecum	7.5	pup_day_50	4.12.2013	7.29.2013	132	EP27.29
EP28.29	EP28	Female	PAT3	PAT3_Female	pup	cecum	52	cecum	7.5	pup_day_50	4.12.2013	7.29.2013	134.6	EP28.29
EP29.29	EP29	Male	PAT3	PAT3_Male	pup	cecum	52	cecum	7.5	pup_day_55	4.17.2013	7.29.2013	251.6	EP29.29
EP3.29	EP3	Male	Control	Control_Male	pup	cecum	52	cecum	7.5	pup_day_47	4.8.2013	7.29.2013	78.2	EP3.29
EP30.29	EP30	Male	PAT3	PAT3_Male	pup	cecum	52	cecum	7.5	pup_day_57	4.19.2013	7.29.2013	232.2	EP30.29
EP32.29	EP32	Female	PAT1	PAT1_Female	pup	cecum	52	cecum	7.5	pup_day_50	4.12.2013	7.29.2013	204.7	EP32.29
EP33.29	EP33	Female	PAT1	PAT1_Female	pup	cecum	52	cecum	7.5	pup_day_50	4.12.2013	7.29.2013	110.9	EP33.29
EP34.29	EP34	Male	PAT3	PAT3_Male	pup	cecum	52	cecum	7.5	pup_day_57	4.19.2013	7.29.2013	233.9	EP34.29
EP35.29	EP35	Male	PAT3	PAT3_Male	pup	cecum	52	cecum	7.5	pup_day_57	4.19.2013	7.29.2013	235.1	EP35.29
EP36.29	EP36	Male	PAT3	PAT3_Male	pup	cecum	52	cecum	7.5	pup_day_47	4.8.2013	7.29.2013	170.8	EP36.29
EP37.29	EP37	Female	PAT3	PAT3_Female	pup	cecum	52	cecum	7.5	pup_day_50	4.12.2013	7.29.2013	176.9	EP37.29
EP38.29	EP38	Male	PAT3	PAT3_Male	pup	cecum	52	cecum	7.5	pup_day_47	4.8.2013	7.29.2013	123.3	EP38.29
EP39.29	EP39	Female	PAT3	PAT3_Female	pup	cecum	52	cecum	7.5	pup_day_50	4.12.2013	7.29.2013	66.3	EP39.29
EP4.29	EP4	Female	PAT1	PAT1_Female	pup	cecum	52	cecum	7.5	pup_day_49	4.10.2013	7.29.2013	75	EP4.29
EP40.29	EP40	Male	PAT3	PAT3_Male	pup	cecum	52	cecum	7.5	pup_day_47	4.8.2013	7.29.2013	96.6	EP40.29
EP41.29	EP41	Male	Control	Control_Male	pup	cecum	52	cecum	7.5	pup_day_47	4.8.2013	7.29.2013	112.2	EP41.29
EP42.29	EP42	Male	Control	Control_Male	pup	cecum	52	cecum	7.5	pup_day_55	4.17.2013	7.29.2013	286.3	EP42.29
EP43.29	EP43	Male	Control	Control_Male	pup	cecum	52	cecum	7.5	pup_day_55	4.17.2013	7.29.2013	197.3	EP43.29
EP44.29	EP44	Male	Control	Control_Male	pup	cecum	52	cecum	7.5	pup_day_55	4.17.2013	7.29.2013	174.4	EP44.29
EP45.29	EP45	Male	Control	Control_Male	pup	cecum	52	cecum	7.5	pup_day_57	4.19.2013	7.29.2013	123	EP45.29
EP46.29	EP46	Female	Control	Control_Female	pup	cecum	52	cecum	7.5	pup_day_48	4.10.2013	7.29.2013	118.7	EP46.29
EP47.29	EP47	Female	Control	Control_Female	pup	cecum	52	cecum	7.5	pup_day_48	4.10.2013	7.29.2013	82.6	EP47.29
EP48.29	EP48	Male	Control	Control_Male	pup	cecum	52	cecum	7.5	pup_day_57	4.19.2013	7.29.2013	97.5	EP48.29
EP49.29	EP49	Male	Control	Control_Male	pup	cecum	52	cecum	7.5	pup_day_57	4.19.2013	7.29.2013	76.2	EP49.29
EP5.29	EP5	Male	PAT1	PAT1_Male	pup	cecum	52	cecum	7.5	pup_day_47	4.8.2013	7.29.2013	NA	EP5.29
EP6.29	EP6	Female	PAT1	PAT1_Female	pup	cecum	52	cecum	7.5	pup_day_49	4.10.2013	7.29.2013	NA	EP6.29
EP7.29	EP7	Female	PAT1	PAT1_Female	pup	cecum	52	cecum	7.5	pup_day_49	4.10.2013	7.29.2013	107.4	EP7.29
EP8.29	EP8	Female	PAT3	PAT3_Female	pup	cecum	52	cecum	7.5	pup_day_49	4.10.2013	7.29.2013	79.9	EP8.29
EP9.29	EP9	Female	PAT3	PAT3_Female	pup	cecum	52	cecum	7.5	pup_day_49	4.10.2013	7.29.2013	72.4	EP9.29
B11.24	B11	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_50_post_birth	4.12.2013	7.25.2013	65.7	B11.24
B11.25	B11	Female	PAT	PAT_Female	Breeder	Fecal	52	52	7.5	Day_55_post_birth	4.17.2013	7.25.2013	33.4	B11.25
